Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,257.929993,259.929993,257.730011,259.500000,258.407471,25627500
2021-04-16,259.470001,261.000000,257.600006,260.739990,259.642242,24878600
2021-04-19,260.190002,261.480011,257.820007,258.739990,257.650665,23209300
2021-04-20,257.820007,260.200012,256.839996,258.260010,257.172699,19722900
2021-04-21,258.940002,260.679993,257.250000,260.579987,259.482910,24030400
2021-04-22,260.209991,261.779999,255.639999,257.170013,256.087280,25606200
2021-04-23,257.880005,261.510010,257.269989,261.149994,260.050507,21462600
2021-04-26,261.660004,262.440002,260.170013,261.549988,260.448822,19763300
2021-04-27,261.579987,263.190002,260.119995,261.970001,260.867096,31014200
2021-04-28,256.079987,256.540009,252.949997,254.559998,253.488266,46903100
2021-04-29,255.460007,256.100006,249.000000,252.509995,251.446899,40589000
2021-04-30,249.740005,253.080002,249.600006,252.179993,251.118271,30945100
2021-05-03,253.399994,254.350006,251.119995,251.860001,250.799637,19626600
2021-05-04,250.970001,251.210007,245.759995,247.789993,246.746765,32756100
2021-05-05,249.059998,249.500000,245.820007,246.470001,245.432327,21901300
2021-05-06,246.449997,249.860001,244.690002,249.729996,248.678604,26491100
2021-05-07,252.149994,254.300003,251.169998,252.460007,251.397110,27032900
2021-05-10,250.869995,251.729996,247.119995,247.179993,246.139328,29299900
2021-05-11,244.550003,246.600006,242.570007,246.229996,245.193329,33641600
2021-05-12,242.169998,244.380005,238.070007,239.000000,237.993790,36684400
2021-05-13,241.800003,245.600006,241.419998,243.029999,242.006805,29624300
2021-05-14,245.580002,249.179993,245.490005,248.149994,247.105255,23901100
2021-05-17,246.550003,246.589996,243.520004,245.179993,244.147751,24970200
2021-05-18,246.270004,246.410004,242.899994,243.080002,242.056610,20168000
2021-05-19,239.309998,243.229996,238.600006,243.119995,242.655457,25739800
2021-05-20,243.960007,247.949997,243.860001,246.479996,246.009033,21800700
2021-05-21,247.570007,248.330002,244.740005,245.169998,244.701538,21863100
2021-05-24,247.789993,251.160004,247.509995,250.779999,250.300827,21411500
2021-05-25,251.770004,252.750000,250.820007,251.720001,251.239029,17704300
2021-05-26,251.429993,252.940002,250.750000,251.490005,251.009476,17771600
2021-05-27,251.169998,251.479996,249.250000,249.309998,248.833633,24426200
2021-05-28,251.000000,252.080002,249.559998,249.679993,249.202911,18270200
2021-06-01,251.229996,251.289993,246.960007,247.399994,246.927277,23213300
2021-06-02,248.130005,249.270004,245.839996,247.300003,246.827469,19406700
2021-06-03,245.220001,246.339996,243.000000,245.710007,245.240524,25307700
2021-06-04,247.759995,251.649994,247.509995,250.789993,250.310791,25281100
2021-06-07,249.979996,254.089996,249.809998,253.809998,253.325027,23079200
2021-06-08,255.160004,256.010010,252.509995,252.570007,252.087418,22455000
2021-06-09,253.809998,255.529999,253.210007,253.589996,253.105453,17937600
2021-06-10,254.289993,257.459991,253.669998,257.239990,256.748474,24563600
2021-06-11,257.989990,258.489990,256.609985,257.890015,257.397247,18999700
2021-06-14,257.899994,259.950012,256.799988,259.890015,259.393433,19150500
2021-06-15,259.769989,259.989990,257.679993,258.359985,257.866333,18038900
2021-06-16,259.399994,260.579987,254.419998,257.380005,256.888214,27220000
2021-06-17,256.070007,261.750000,256.010010,260.899994,260.401489,27565500
2021-06-18,259.630005,262.299988,258.750000,259.429993,258.934296,37202200
2021-06-21,259.820007,263.519989,257.920013,262.630005,262.128174,26696100
2021-06-22,262.720001,265.790009,262.399994,265.510010,265.002686,24694100
2021-06-23,265.989990,266.829987,264.429993,265.269989,264.763123,19518700
2021-06-24,266.160004,267.850006,265.470001,266.690002,266.180420,21446900
2021-06-25,266.230011,267.250000,264.760010,265.019989,264.513611,25611100
2021-06-28,266.190002,268.899994,265.910004,268.720001,268.206543,19590000
2021-06-29,268.869995,271.649994,267.980011,271.399994,270.881409,19937800
2021-06-30,270.690002,271.359985,269.600006,270.899994,270.382385,21656500
2021-07-01,269.609985,271.839996,269.600006,271.600006,271.081055,16725300
2021-07-02,272.820007,278.000000,272.500000,277.649994,277.119476,26458000
2021-07-06,278.029999,279.369995,274.299988,277.660004,277.129456,31565600
2021-07-07,279.399994,280.690002,277.149994,279.929993,279.395111,23260000
2021-07-08,276.899994,278.730011,274.869995,277.420013,276.889923,24618600
2021-07-09,275.720001,278.049988,275.320007,277.940002,277.408936,23916700
2021-07-12,279.160004,279.769989,276.579987,277.320007,276.790131,18931700
2021-07-13,277.519989,282.850006,277.390015,280.980011,280.443115,26120100
2021-07-14,282.350006,283.660004,280.549988,282.510010,281.970215,23113700
2021-07-15,282.000000,282.510010,279.829987,281.029999,280.493011,22604200
